,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
200,Hospitality Exam,"4,300",HSC,38.0,4.8,48.5,46.5,44.0,41.5,38.5,35.0
201,Hospitality Exam,,scaled,19.0,10.1,43.8,41.3,33.3,26.3,18.5,11.1
202,Human Services Exam,599,HSC,36.1,3.5,50.0,45.0,40.5,38.5,36.0,34.0
203,Human Services Exam,,scaled,20.2,9.3,42.9,41.3,33.3,26.8,19.2,12.7
204,"Information & Digital Technology Exam",383,HSC,36.3,4.9,46.0,44.0,41.5,39.5,37.0,34.0
205,"Information & Digital Technology Exam",,scaled,19.2,9.8,43.1,40.6,33.7,26.7,18.8,11.7
206,Primary Industries Exam,549,HSC,37.3,4.4,48.0,46.5,43.0,40.5,37.5,34.5
207,Primary Industries Exam,,scaled,17.1,9.3,39.8,38.5,31.0,24.8,16.2,9.5
208,Retail Services Exam,745,HSC,34.7,4.3,46.0,43.0,39.5,37.5,34.5,32.0
209,Retail Services Exam,,scaled,16.6,10.5,42.5,40.9,31.2,24.2,14.8,7.4
210,"Tourism, Travel & Events Exam",79,HSC,35.8,5.5,46.5,46.5,43.0,40.5,35.0,32.5
211,"Tourism, Travel & Events Exam",,scaled,20.0,11.0,45.9,45.9,37.5,30.4,16.8,11.2
